VESSEL,STATIONID,STRATUM,LONGITUDE,LATITUDE
V2,192-19,612,-175.6415842,51.79481571
176,213-21,612,-174.0583606,51.86860932
V2,199-21,612,-175.1140562,51.86354015
176,191-21,612,-175.7155121,51.86354022
V2,179-15,612,-176.6176884,51.60276366
176,178-14,612,-176.6955143,51.56983104
V2,198-21,612,-175.189237,51.8635401
176,180-15,612,-176.5445476,51.60641553
V2,207-21,612,-174.5126007,51.86354014
176,184-16,612,-176.2445106,51.6621414
V2,198-22,612,-175.189237,51.90714785
176,183-16,612,-176.3198872,51.65540497
V2,197-20,613,-175.2647649,51.81281155
176,196-19,613,-175.3402665,51.78472217
V2,204-20,613,-174.7383428,51.82238253
176,195-19,613,-175.4164041,51.77950113
V2,182-15,613,-176.3932398,51.61036035
176,194-19,613,-175.4899563,51.7764488
V2,191-17,614,-175.718048,51.69421614
176,205-20,614,-174.6623975,51.80388869
V2,216-23,621,-173.8336307,51.95079944
176,220-23,621,-173.5343437,51.95822944
V2,215-24,621,-173.9111446,51.99449489
176,249-34,621,-171.329561,52.43322497
V2,215-23,621,-173.9061474,51.95646006
176,217-24,621,-173.7607851,51.99449486
V2,214-24,621,-173.9743715,51.99449423
176,259-37,621,-170.609138,52.58301561
V2,258-36,622,-170.6793559,52.52462593
176,216-22,622,-173.8367758,51.90711532
V2,235-26,622,-172.4075133,52.08200979
176,235-27,622,-172.4075136,52.12583499
V2,234-26,622,-172.4826936,52.08200978
176,215-21,622,-173.9126108,51.86899686
